"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB171212948","107.27","56.59","58099.94769021","   6.656"," 0.923","  -2.304","bn171212948"
"GRB171213061","150.38","36.11","58100.060706065"," 111.616"," 6.676"," -58.368","bn171213061"
"GRB171215705","19.68","34.73","58102.705155658","  28.928"," 5.838","  -3.072","bn171215705"
"GRB171219279","269.62","-18.03","58106.279364339","   1.152"," 1.190","  -0.896","bn171219279"
"GRB171222684","148.277","35.6271","58109.684149794","  80.384"," 4.615","   0.768","bn171222684"
"GRB171223818","115.84","-33.48","58110.81823001","   0.384"," 0.295","  -0.032","bn171223818"
"GRB171227000","280.69","-35.03","58114.000155115","  37.633"," 0.572","   7.744","bn171227000"
"GRB171230048","246.73","13.09","58117.04848096","   9.984"," 0.923","   0.768","bn171230048"
"GRB171230119","325.29","-12.35","58117.119052562","   1.280"," 0.528","  -1.216","bn171230119"
"GRB171230955","89.53","-27.75","58117.955205492","  70.401"," 0.923","   4.352","bn171230955"
"GRB180102660","203.068","62.1709","58120.65957418","  13.312"," 4.344","  -8.192","bn180102660"
"GRB180103090","25.4","28.01","58121.089723587","   0.016"," 0.036","  -0.016","bn180103090"
"GRB180110608","126.34","51.27","58128.608324288","   1.536"," 1.619","  -1.024","bn180110608"
"GRB180111815","177.17","2.9","58129.815283511","  19.200"," 2.202"," -10.752","bn180111815"
"GRB180112842","173.92","23.06","58130.841994681","   9.472"," 3.849","  -0.256","bn180112842"
"GRB180113011","6.697","24.021","58131.011116557","  15.872"," 0.572","   0.320","bn180113011"
"GRB180113116","19.215","68.682","58131.116043236","  11.264"," 0.572","   0.320","bn180113116"
"GRB180113418","174.63","-64.74","58131.418118131","  24.576"," 0.362","   5.376","bn180113418"
"GRB180116026","215.655","18.959","58134.025611192","  59.904","11.546","  -1.792","bn180116026"
"GRB180116678","48.15","-13.31","58134.677820084"," 122.624"," 2.290","   0.768","bn180116678"
"GRB180119837","348.72","-15.03","58137.836716351","   3.008"," 0.231","  -0.256","bn180119837"
"GRB180120207","151.77","27.79","58138.207094913","  28.928"," 0.724","   1.344","bn180120207"
"GRB180122129","26.43","-41.06","58140.128933683","   4.352"," 3.665","  -3.840","bn180122129"
"GRB180123820","124.86","30","58141.820020528","   0.320"," 0.932","  -0.128","bn180123820"
"GRB180124392","330.86","-41.94","58142.391610786","  86.528"," 2.919","   5.632","bn180124392"
"GRB180125891","213.32","-52.67","58143.890557792","  22.784"," 0.572","   2.048","bn180125891"
"GRB180126095","305.6","43.53","58144.094807442","  18.432"," 4.636","   0.256","bn180126095"
"GRB180127049","20.48","25.79","58145.049455019","  34.817"," 2.611","  -2.560","bn180127049"
"GRB180127879","258.96","3.74","58145.879126053","  17.664"," 1.639","  -2.304","bn180127879"
"GRB180128215","12.26","-26.1","58146.215238402","   0.208"," 0.400","  -0.096","bn180128215"
"GRB180128252","71.28","-9.04","58146.252345919","  38.913"," 0.362","   0.512","bn180128252"
"GRB180128881","323.18","-13.55","58146.881475191","   1.792"," 0.923","  -0.512","bn180128881"
"GRB180130049","273.3","-2.26","58148.049163111"," 120.578","10.996","  -0.768","bn180130049"
"GRB180130744","136.83","52.69","58148.744060078","   0.256"," 0.916","  -0.192","bn180130744"
"GRB180131528","307.06","-43.66","58149.527686366","   0.960"," 0.659","  -0.896","bn180131528"
"GRB180201706","251.32","-43.47","58150.705539343","   0.192"," 0.548","  -0.064","bn180201706"
"GRB180201780","75.82","52.5","58150.780387696","   0.640"," 0.547","  -0.576","bn180201780"
"GRB180204109","330.134","30.8381","58153.108529238","   1.152"," 0.091","  -0.064","bn180204109"
"GRB180205184","126.821","11.5419","58154.184321673","  15.360"," 1.448","  -1.792","bn180205184"
"GRB180205323","204.7","-16.5","58154.322964615","  47.360"," 2.919"," -16.384","bn180205323"
"GRB180206203","230.74","20.39","58155.202812522","   0.448"," 0.181","  -0.320","bn180206203"
"GRB180208764","196.56","8.24","58157.76447105","  17.408"," 6.276","  -9.472","bn180208764"
"GRB180210517","1.8418","18.5527","58159.517112828","  38.913"," 0.724","   4.096","bn180210517"
"GRB180210991","112.76","-27.44","58159.990606315","  48.129"," 0.572","   0.576","bn180210991"
"GRB180211754","202.86","33.53","58160.754495606","  20.480"," 2.187","  -3.584","bn180211754"
"GRB180218635","47.23","46.65","58167.634785743","   5.632"," 0.362","   1.536","bn180218635"
"GRB180219482","86.22","32.31","58168.482090424"," 108.034"," 0.923","   5.888","bn180219482"
"GRB180222239","54.96","13.22","58171.238915438","  50.689","11.056"," -27.905","bn180222239"
"GRB180225417","180.98","-9.49","58174.417293697","   0.896"," 1.134","  -0.448","bn180225417"
"GRB180227211","98.61","-5.44","58176.211302784","   0.288"," 1.438","  -0.224","bn180227211"
"GRB180305393","49.7","32.1","58182.393155803","  13.056"," 0.810","   1.536","bn180305393"
