GRBName,Trig_no,healpix,locmap
bn171207809,534367469,2048,0
bn171208477,534425213,2048,2048
bn171208733,534447354,2048,0
bn171209671,534528400,2048,0
bn171210493,534599360,31744,0
bn171211844,534716163,2048,0
bn171212040,534733039,2048,2048
bn171212222,534748819,2048,0
bn171212434,534767063,2048,0
bn171212948,534811485,2048,2048
bn171213061,534821250,2048,0
bn171215705,535049730,2048,0
bn171216456,535114564,2048,2048
bn171216812,535145335,2048,2048
bn171218250,535269621,2048,2048
bn171218320,535275654,2048,2048
bn171219242,535355280,2048,2048
bn171219279,535358542,2048,0
bn171223392,535713900,2048,2048
bn171223818,535750700,2048,0
bn171225119,535863084,2048,2048
bn171226111,535948778,2048,2048
bn171226604,535991382,2048,2048
bn171227000,536025618,2048,0
bn171227690,536085249,2048,2048
bn171228023,536113997,2048,2048
bn171228936,536192907,2048,2048
bn171230048,536288993,2048,0
bn171230119,536295091,2048,0
bn171230955,536367334,2048,0
bn171231988,536456604,2048,2048
bn180101059,536462662,2048,2048
bn180102449,536582827,2048,2048
bn180102660,536600992,2048,0
bn180103090,536638157,2048,0
bn180103442,536668597,2048,2048
bn180104433,536754209,2048,2048
bn180106416,536925530,2048,2048
bn180108707,537123477,2048,2048
bn180108849,537135776,2048,2048
bn180110608,537287764,2048,0
bn180111815,537392045,2048,0
bn180112842,537480753,0,0
bn180113011,537495365,0,0
bn180113116,537504431,0,0
bn180113418,537530530,0,0
bn180114446,537619348,2048,2048
bn180116026,537755817,0,0
bn180116162,537767572,2048,2048
bn180116678,537812168,0,0
bn180118831,537998180,2048,2048
bn180119210,538030981,2048,2048
bn180119837,538085097,0,0
bn180120207,538117098,0,0
bn180121596,538237090,2048,2048
bn180122129,538283144,0,0
bn180122517,538316685,2048,2048
bn180123820,538429254,0,0
bn180124392,538478640,0,0
bn180125891,538608149,0,0
bn180126095,538625796,0,0
bn180127049,538708277,0,0
bn180127879,538779961,0,0
bn180128215,538809001,0,0
bn180128252,538812207,2048,31744
bn180128881,538866564,0,0
bn180128915,538869433,2048,2048
bn180130049,538967452,0,0
bn180130744,539027491,0,0
bn180131528,539095197,0,0
bn180201706,539196963,0,0
bn180201780,539203430,0,0
bn180204109,539404581,2048,2048
bn180204853,539468884,2048,2048
bn180205184,539497530,2048,2048
bn180205323,539509509,0,0
bn180205847,539554764,2048,2048
bn180206203,539585528,0,0
bn180206310,539594761,2048,2048
bn180206523,539613219,2048,2048
bn180208764,539806855,0,31744
bn180210517,539958283,0,0
bn180210991,539999193,0,0
bn180211047,540004049,2048,2048
bn180211754,540065193,0,0
bn180215689,540405116,0,0
bn180216512,540476225,0,0
bn180218522,540649863,2048,2048
bn180218635,540659650,0,31744
bn180219482,540732857,31744,0
bn180219684,540750282,2048,2048
bn180220385,540810844,31744,2048
bn180221314,540891149,2048,2048
bn180222239,540971047,0,0
bn180223328,541065142,2048,2048
bn180225032,541212368,2048,2048
bn180225219,541228559,2048,2048
bn180225417,541245659,0,0
bn180226469,541336497,2048,2048
bn180227211,541400661,0,0
bn180227234,541402602,0,0
bn180302863,541716181,2048,2048
bn180304259,541836772,2048,2048
bn180305393,541934773,0,0
bn180306479,542028572,0,0
bn180306973,542071238,0,0
bn180307073,542079889,0,0
bn180309145,542258920,2048,2048
bn180309322,542274195,0,31744
bn180311074,542425558,31744,0
bn180313978,542676502,0,0
bn180314030,542681004,0,0
